Total Nacional;Provincias;Sexo;Periodo;Total
Total Nacional;02 Albacete;Hombres;2004;1.958
Total Nacional;02 Albacete;Hombres;2003;2.005
Total Nacional;02 Albacete;Hombres;2002;1.874
Total Nacional;02 Albacete;Hombres;2001;1.864
Total Nacional;02 Albacete;Hombres;2000;1.878
Total Nacional;02 Albacete;Hombres;1999;1.919
Total Nacional;02 Albacete;Hombres;1998;1.913
Total Nacional;02 Albacete;Hombres;1997;1.929
Total Nacional;02 Albacete;Hombres;1996;2.005
Total Nacional;02 Albacete;Hombres;1995;2.064
Total Nacional;02 Albacete;Hombres;1994;2.014
Total Nacional;02 Albacete;Hombres;1993;2.056
Total Nacional;02 Albacete;Hombres;1992;2.128
Total Nacional;02 Albacete;Hombres;1991;2.148
Total Nacional;02 Albacete;Hombres;1990;2.310
Total Nacional;02 Albacete;Hombres;1989;2.256
Total Nacional;02 Albacete;Hombres;1988;2.127
Total Nacional;02 Albacete;Hombres;1987;2.231
Total Nacional;02 Albacete;Hombres;1986;2.241
Total Nacional;02 Albacete;Hombres;1985;2.277
Total Nacional;02 Albacete;Hombres;1984;2.436
Total Nacional;02 Albacete;Hombres;1983;2.577
Total Nacional;02 Albacete;Hombres;1982;2.754
Total Nacional;02 Albacete;Hombres;1981;2.688
Total Nacional;02 Albacete;Hombres;1980;2.760
Total Nacional;02 Albacete;Hombres;1979;2.878
Total Nacional;02 Albacete;Hombres;1978;3.138
Total Nacional;02 Albacete;Hombres;1977;3.065
Total Nacional;02 Albacete;Hombres;1976;3.217
Total Nacional;02 Albacete;Hombres;1975;3.151
Total Nacional;02 Albacete;Hombres;1974;3.231
Total Nacional;02 Albacete;Hombres;1973;3.291
Total Nacional;02 Albacete;Hombres;1972;3.306
Total Nacional;02 Albacete;Hombres;1971;3.473
Total Nacional;02 Albacete;Hombres;1970;3.448
Total Nacional;02 Albacete;Hombres;1969;3.784
Total Nacional;02 Albacete;Hombres;1968;3.746
Total Nacional;02 Albacete;Hombres;1967;3.851
Total Nacional;02 Albacete;Hombres;1966;3.961
Total Nacional;02 Albacete;Hombres;1965;4.064
Total Nacional;02 Albacete;Hombres;1964;4.537
Total Nacional;02 Albacete;Hombres;1963;4.498
Total Nacional;02 Albacete;Hombres;1962;4.574
Total Nacional;02 Albacete;Hombres;1961;4.724
Total Nacional;02 Albacete;Hombres;1960;5.014
Total Nacional;02 Albacete;Hombres;1959;4.747
Total Nacional;02 Albacete;Hombres;1958;4.913
Total Nacional;02 Albacete;Hombres;1957;4.673
Total Nacional;02 Albacete;Hombres;1956;4.343
Total Nacional;02 Albacete;Hombres;1955;4.422
Total Nacional;02 Albacete;Hombres;1954;4.330
Total Nacional;02 Albacete;Hombres;1953;4.753
Total Nacional;02 Albacete;Hombres;1952;4.968
Total Nacional;02 Albacete;Hombres;1951;4.802
Total Nacional;02 Albacete;Hombres;1950;5.012
Total Nacional;02 Albacete;Hombres;1949;5.232
Total Nacional;02 Albacete;Hombres;1948;5.571
Total Nacional;02 Albacete;Hombres;1947;4.815
Total Nacional;02 Albacete;Hombres;1946;4.896
Total Nacional;02 Albacete;Hombres;1945;5.301
