Total Nacional;Provincias;Sexo;Periodo;Total
Total Nacional;03 Alicante/Alacant;Hombres;1963;3.852
Total Nacional;03 Alicante/Alacant;Hombres;1962;3.747
Total Nacional;03 Alicante/Alacant;Hombres;1961;3.353
Total Nacional;03 Alicante/Alacant;Hombres;1960;3.495
Total Nacional;03 Alicante/Alacant;Hombres;1959;""
Total Nacional;03 Alicante/Alacant;Hombres;1958;""
Total Nacional;03 Alicante/Alacant;Hombres;1957;""
Total Nacional;03 Alicante/Alacant;Hombres;1956;""
Total Nacional;03 Alicante/Alacant;Hombres;1955;""
Total Nacional;03 Alicante/Alacant;Hombres;1954;""
Total Nacional;03 Alicante/Alacant;Hombres;1953;""
Total Nacional;03 Alicante/Alacant;Hombres;1952;""
Total Nacional;03 Alicante/Alacant;Hombres;1951;""
Total Nacional;03 Alicante/Alacant;Hombres;1950;""
Total Nacional;03 Alicante/Alacant;Hombres;1949;""
Total Nacional;03 Alicante/Alacant;Hombres;1948;""
Total Nacional;03 Alicante/Alacant;Hombres;1947;""
Total Nacional;03 Alicante/Alacant;Hombres;1946;""
Total Nacional;03 Alicante/Alacant;Hombres;1945;""
Total Nacional;03 Alicante/Alacant;Hombres;1944;""
Total Nacional;03 Alicante/Alacant;Hombres;1943;""
Total Nacional;03 Alicante/Alacant;Hombres;1942;""
Total Nacional;03 Alicante/Alacant;Hombres;1941;""
Total Nacional;03 Alicante/Alacant;Hombres;1940;""
Total Nacional;03 Alicante/Alacant;Hombres;1939;""
Total Nacional;03 Alicante/Alacant;Hombres;1938;""
Total Nacional;03 Alicante/Alacant;Hombres;1937;""
Total Nacional;03 Alicante/Alacant;Hombres;1936;""
Total Nacional;03 Alicante/Alacant;Hombres;1935;""
Total Nacional;03 Alicante/Alacant;Hombres;1934;""
Total Nacional;03 Alicante/Alacant;Hombres;1933;""
Total Nacional;03 Alicante/Alacant;Hombres;1932;""
Total Nacional;03 Alicante/Alacant;Hombres;1931;""
Total Nacional;03 Alicante/Alacant;Hombres;1930;""
Total Nacional;03 Alicante/Alacant;Mujeres;1974;4.369
